name,Gender,Re-Electionist,Year Elected
"ALARCIO, SILVERIO JR.",male,yes,
"CASTAÑEDA, IDAY",female,yes,
"PASILIAO, NEPTHALIE",male,no,
"PERIAS, ALBIN",male,no,
"VERZOSA, SONNY",male,no,
"BRIANA, ALIMAR",male,yes,
"DE GUZMAN, ARIEL",male,no,
"DE GUZMAN, JEBONG",male,no,
"GESLANI, NOEL ANTHONY",male,no,
"PINLAC, RENATO",male,no,
"AMADOR, KIM",male,yes,
"ARENAS, LITO",male,no,
"CASUPANG, MANNY",male,no,
"DE VERA-PARAYNO, BONA",female,yes,
"MENESES, JOEL",male,no,
"PALISOC, RICHARD",male,no,
"VENTENILLA, BALONG",male,no,
"CALIMLIM, MAXIMO JR.",male,yes,2013
"MORALES, JESSIE",male,no,
"TAMBAOAN, GERALD GLENN",male,no,
"RAFAEL, COCOY",male,yes,
"SUPNET, APRIL",female,no,
"CHAN, ARTEMIO",male,yes,
"LAMBINO, RAUL",male,no,
"VILLANUEVA, RUDY",male,no,
"CASANOVA, CEZAR",male,no,
"CASARENO, SUSAN",female,yes,
"REVITA, RICARDO",male,yes,
"CAYABYAB, AMELIA",female,no,
"RESUELLO, JOSERES",male,no,
"SORIANO, WILHELM",male,no,
"AGBAYANI, CONSTANTE",male,yes,
"LIBUNAO, JAMING",male,yes,
"ABARCAR, GERRY",male,no,
"DE VERA, ROBERT",male,yes,
"GARCIA, JOSEPH",male,no,
"PEREZ, ALAIN JERICO",male,yes,
"PRESTOZA, ROMY",male,no,
"SALDIVAR, REBECCA",female,yes,
"AQUINO, FRANKLIN",male,no,
"TIU, CLARK CECIL",male,yes,
"UDAN, JUAN SR.",male,no,
"CABANGON, JUAN EMMANUEL",male,no,
"ZAPLAN, CARLITO",male,yes,
"RAMOS, TEDDY",male,yes,
"VILLAR, DICK",male,yes,
"PANGASINAN, MINA JOY",female,yes,
"UY, DANILO",male,no,
"ARCINUE, ROBERTO",male,yes,
"AGABAS, TYRONE",male,yes,
"CUSTODIO, MYRNA",female,no,
"CRUZ, MIKE",male,no,
"PABLO, GAUDENCIO",male,no,
"RABANG, ALAIN",male,yes,
"BALOLONG, MIRLA",female,yes,
"SISON, MARTIN RAUL II",male,yes,
"PEREZ, BOBOM",male,yes,
"ABRENICA, NATO",male,yes,
"RABE, ISAGANI",male,no,
"RAFANAN, PAZ",female,no,
"AMANODDIN, TAMIM",male,no,
"DIPATUAN, ABDULMOHAIMEN",male,yes,
"DIPATUAN, SARTATA",male,no,
,,,
"BENITO, EDNA",female,yes,
"CHICOTE, NORMA",female,no,
