city,province,name,Gender,votes,result
TAYUG,PANGASINAN,"AGABAS, TYRONE",male,17879,W
TAYUG,PANGASINAN,"CUSTODIO, MYRNA",female,1897,L
TUBARAN,LANAO DEL SUR,"PAPANDAYAN, KHALED YASSIN",male,6636,W
TUBARAN,LANAO DEL SUR,"FAHAD, ABDELYUSOPH",male,442,L
TUBARAN,LANAO DEL SUR,"DIMAPORO, RAFAEL YASSIN",male,75,L
TUBARAN,LANAO DEL SUR,"AMIL, FAIS",male,3,L
TUBARAN,LANAO DEL SUR,"ANDAG, LIKAPAO",male,3,L
TUGAYA,LANAO DEL SUR,"PACALNA, ALFATTAH",male,4390,W
TUGAYA,LANAO DEL SUR,"PUKUNUM, NAIP",male,2872,L
TUGAYA,LANAO DEL SUR,"PANGCOGA, AYONAN",male,457,L
TUGAYA,LANAO DEL SUR,"ABANGON, SUHAILI",male,140,L
TUGAYA,LANAO DEL SUR,"PUKUNUM, JAMILON",male,111,L
TUGAYA,LANAO DEL SUR,"DECAMPONG, SOLAIMAN",male,6,L
TUGAYA,LANAO DEL SUR,"SARIP, HASAN",male,4,L
UMINGAN,PANGASINAN,"CRUZ, MIKE",male,21000,W
UMINGAN,PANGASINAN,"RABANG, ALAIN",male,15195,L
UMINGAN,PANGASINAN,"PABLO, GAUDENCIO",male,123,L
URBIZTONDO,PANGASINAN,"SISON, MARTIN RAUL II",male,14248,W
URBIZTONDO,PANGASINAN,"BALOLONG, MIRLA",female,10749,L
URDANETA CITY,PANGASINAN,"PEREZ, BOBOM",male,40191,W
VILLASIS,PANGASINAN,"ABRENICA, NATO",male,17864,W
VILLASIS,PANGASINAN,"RAFANAN, PAZ",female,12003,L
VILLASIS,PANGASINAN,"RABE, ISAGANI",male,411,L
WAO,LANAO DEL SUR,"BALICAO, BOBBY",male,17545,W
WAO,LANAO DEL SUR,"CARUMBA-CATALAN, MARY RUTH",female,8813,L
WAO,LANAO DEL SUR,"HADJI NASSER, LOMINOG",male,189,L
